Date,Tsunami,Magma_Lava Flow,Fuming_Level ,Seismic_Signal,Gas_Emission,Aviation_Color_Code,Volcano_Alert_Level
1337212800,0,2,1,0,2,2,2
1337299200,0,2,1,0,2,2,2
1337385600,0,2,1,0,2,2,2
1337472000,0,2,1,0,2,2,2
1337558400,0,2,1,0,2,2,2
1337644800,0,2,1,0,2,2,2
1337731200,0,2,1,0,2,2,2
1337817600,0,2,1,0,2,2,2
1337904000,0,2,1,0,2,2,2
1337990400,0,2,1,0,2,2,2
1338076800,0,2,1,0,2,2,2
1338163200,0,2,1,0,2,2,2
1338249600,0,2,1,0,2,2,2
1338336000,0,2,1,0,2,2,2
1338422400,0,2,1,0,2,2,2
1338508800,0,2,1,0,2,2,2
1338595200,0,2,1,0,2,2,2
1338681600,0,2,1,0,2,2,2
1338768000,0,2,1,0,2,2,2
1338854400,0,2,1,0,2,2,2
1338940800,0,2,1,0,2,2,2
1339027200,0,2,1,0,2,2,2
1339113600,0,2,1,0,2,2,2
1339200000,0,2,1,0,2,2,2
1339286400,0,2,1,0,2,2,2
1339372800,0,2,1,0,2,2,2
1339459200,0,2,1,0,2,2,2
1339545600,0,2,1,0,2,2,2
1339632000,0,2,1,0,2,2,2
1339718400,0,2,1,0,2,2,2
1339804800,0,2,1,0,2,2,2
1339891200,0,2,1,0,2,2,2
1339977600,0,2,1,0,2,2,2
1340064000,0,2,1,0,2,2,2
1340150400,0,2,1,0,2,2,2
1340236800,0,2,1,0,2,2,2
1340323200,0,2,1,0,2,2,2
1340409600,0,2,1,0,2,2,2
1340496000,0,2,1,0,2,2,2
1340582400,0,2,1,0,2,2,2
1340668800,0,2,1,0,2,2,2
1340755200,0,2,1,0,2,2,2
1340841600,0,2,1,0,2,2,2
1340928000,0,2,1,0,2,2,2
1341014400,0,2,1,0,2,2,2
1341100800,0,2,1,0,2,2,2
1341187200,0,2,1,0,2,2,2
1341273600,0,2,1,0,2,2,2
1341360000,0,2,1,0,2,2,2
1341446400,0,2,1,0,2,2,2
